region,year,coefficient,pctGap,significance,pctLow,pctHigh
B.C.,2010,0.052,5.3,,-0.5,11.4
B.C.,2011,0.038,3.9,,-0.3,8.5
B.C.,2012,0.032,3.3,,-0.8,7.8
B.C.,2013,0.015,1.5,,-2.2,5.1
B.C.,2014,0.004,0.4,,-2.5,3.0
B.C.,2015,0,0,,-1.8,2.0
B.C.,2016,0.022,2.2,,-1.0,5.7
B.C.,2017,0.083,8.7,**,2.5,15.0
B.C.,2018,0.088,9.2,***,3.6,15.0
B.C.,2019,0.120,12.7,***,6.0,20.1
B.C.,2020,0.087,9.1,*,1.2,17.7
B.C.,2021,0.094,9.9,*,1.0,18.9
Ontario,2010,0.005,0.5,,-2.3,3.3
Ontario,2011,0.000,0.0,,-2.7,2.7
Ontario,2012,-0.005,-0.5,,-2.9,1.9
Ontario,2013,-0.006,-0.6,,-2.9,1.7
Ontario,2014,-0.003,-0.3,,-2.2,1.6
Ontario,2015,-0.015,-1.5,,-3.8,0.8
Ontario,2016,0,0,,-0.6,0.6
Ontario,2017,0.001,0.1,,-2.0,2.2
Ontario,2018,0.022,2.2,*,0.0,4.4
Ontario,2019,0.025,2.5,,-0.3,5.3
Ontario,2020,0.019,1.9,,-1.2,5.0
Ontario,2021,0.022,2.2,,-1.5,5.9
